NAZEV;Pb;Zn
benesov;2,302585093;2,116255515
benesov;2,493205453;2,163323026
benesov;2,370243741;2,197224577
benesov;2,388762789;2,208274414
benesov;2,541601993;2,208274414
benesov;2,251291799;2,272125886
benesov;2,617395833;2,282382386
benesov;2,564949357;2,302585093
benesov;2,459588842;2,312535424
benesov;2,564949357;2,32238772
benesov;2,433613355;2,332143895
benesov;2,766319109;2,341805806
benesov;2,442347035;2,341805806
benesov;1,987874348;2,351375257
benesov;2,541601993;2,360854001
benesov;2,041220329;2,360854001
benesov;2,674148649;2,379546134
benesov;1,85629799;2,388762789
benesov;2,4765384;2,397895273
benesov;2,653241965;2,397895273
benesov;2,587764035;2,397895273
benesov;2,468099531;2,406945108
benesov;2,646174797;2,415913778
benesov;2,525728644;2,415913778
benesov;2,186051277;2,415913778
benesov;2,48490665;2,415913778
benesov;2,116255515;2,424802726
benesov;2,624668592;2,424802726
benesov;2,549445171;2,433613355
benesov;2,197224577;2,433613355
benesov;2,653241965;2,442347035
benesov;2,827313622;2,451005098
benesov;2,681021529;2,451005098
benesov;2,272125886;2,451005098
benesov;2,493205453;2,459588842
benesov;2,587764035;2,459588842
benesov;2,312535424;2,468099531
benesov;2,809402695;2,468099531
benesov;2,302585093;2,468099531
benesov;3,303216973;2,4765384
benesov;2,091864062;2,4765384
benesov;1,871802177;2,4765384
benesov;2,4765384;2,4765384
benesov;2,424802726;2,48490665
benesov;2,694627181;2,48490665
benesov;2,332143895;2,48490665
benesov;2,140066163;2,48490665
benesov;2,604909442;2,485739636
benesov;2,353278207;2,48906466
benesov;3,100092289;2,493205453
benesov;2,48490665;2,493205453
benesov;2,186051277;2,501435952
benesov;2,58021683;2,501435952
benesov;2,727852828;2,509599262
benesov;2,302585093;2,509599262
benesov;2,282382386;2,509599262
benesov;2,151762203;2,509599262
benesov;3,086486637;2,509599262
benesov;3,230804396;2,509599262
benesov;2,302585093;2,517696473
benesov;2,091864062;2,517696473
benesov;2,533696814;2,517696473
benesov;2,501435952;2,517696473
benesov;1,791759469;2,517696473
benesov;1,667706821;2,525728644
benesov;2,687847494;2,525728644
benesov;2,104134154;2,525728644
benesov;2,48490665;2,533696814
benesov;2,48490665;2,533696814
benesov;2,197224577;2,533696814
benesov;2,525728644;2,541601993
benesov;2,714694744;2,541601993
benesov;2,501435952;2,541601993
benesov;2,251291799;2,541601993
benesov;2,727852828;2,541601993
benesov;2,867898902;2,549445171
benesov;1,931521412;2,549445171
benesov;2,424802726;2,549445171
benesov;2,772588722;2,549445171
benesov;2,442347035;2,549445171
benesov;2,479056236;2,551006451
benesov;2,917770732;2,557227311
benesov;2,028148247;2,557227311
benesov;2,541601993;2,557227311
benesov;2,76000994;2,557227311
benesov;2,701361213;2,557227311
benesov;2,862200881;2,557227311
benesov;2,261763098;2,557227311
benesov;2,701361213;2,557227311
benesov;2,646174797;2,564949357
benesov;2,32238772;2,564949357
benesov;1,648658626;2,57261223
benesov;2,928523524;2,57261223
benesov;2,079441542;2,57261223
